,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,5.129606,-1.185113,3.169065,-6.490952,-10.321047,25.919216,7.964553,10.300142,5.489276,13.957784,-2.794266,7.025344,15.002589,-5.231153,2.277085,8.667432,-4.492751,-3.128517,-19.342234,-3.478600,15.688237,-3.103746,-1.055603,-9.095588,-6.194702,-13.330914,2.860040,-7.941000,-8.012197,0.082256,1.030237,-1.408263
1,-1.523818,-18.169804,-8.940477,2.106557,-3.389981,12.100657,5.907282,4.493353,-2.667740,3.928494,10.723182,-7.625885,23.171127,-21.803823,-10.543527,23.603107,8.140672,2.861820,-12.522653,-7.764807,0.064477,-1.772288,-19.317492,-11.724061,8.083602,-1.571573,17.339823,4.264663,-1.965438,-5.488012,2.595311,-5.599286
2,7.646149,-0.284610,7.676248,-8.493534,-11.134954,20.413950,6.304932,13.649711,5.089556,10.946161,-4.015151,8.913316,16.424234,2.013155,-3.941841,7.818027,-14.714868,-12.260456,-16.713770,-10.705471,15.722109,-1.756257,-1.739655,-11.815496,-5.151661,-18.728134,9.111476,-8.165129,-4.242476,-1.471483,1.991200,-3.884327
3,6.241573,-8.843679,4.862336,-3.198241,-12.450903,16.738100,3.176746,12.271722,0.512290,5.439176,-5.257343,10.646396,14.727947,0.464857,7.410872,10.520849,-5.974960,-14.652761,-10.611685,-14.529121,9.448673,0.694701,-5.365855,-0.137649,2.583644,-6.675482,10.574486,-14.452050,-3.722085,-3.138472,5.606154,-9.555789
4,6.945830,-6.384163,3.885824,-1.372926,-10.930085,22.981041,5.351521,16.310915,11.838415,7.267434,0.640495,3.712555,18.077753,-2.252733,6.833704,10.238388,-5.844925,-12.745904,-15.595503,-8.888035,19.759443,-3.139732,-6.072958,-5.170599,-1.965564,-10.580648,5.592661,-7.412383,-7.333483,-6.799606,3.626592,-0.023970
5,8.213717,-5.404686,-0.511136,-4.203122,-13.626174,24.010281,4.947418,13.634101,4.349814,6.993096,3.941054,7.048004,13.246542,-4.505755,5.666893,8.505709,-4.753441,-8.084940,-18.204130,-7.008652,13.744843,-4.061169,-1.638818,-6.624148,-5.613989,-9.201889,1.496572,-7.953279,-7.398215,-2.457841,3.226228,-0.383146
6,15.183932,-6.466158,6.662836,-2.439972,-7.138809,9.902282,12.936820,8.140780,4.402924,2.806417,2.236146,7.313533,14.094287,-2.547578,6.914539,4.419854,-13.791468,-14.823740,-9.255725,-8.890967,7.618816,-6.511333,-6.375229,-1.653931,-3.706039,-5.387461,8.416839,-3.668906,-2.066866,-2.648291,3.626455,-4.573843
7,15.889619,-2.588603,-6.773228,-0.651060,-15.306660,6.898037,14.787139,9.370008,6.027695,-4.080173,2.858389,-1.072910,17.889647,-9.705721,3.462777,9.470064,-7.044988,-14.692973,5.024930,-15.675209,9.093599,-5.530641,-10.076614,-21.708570,-7.487649,-2.056498,1.572877,3.959711,6.667132,-10.221811,-2.579519,-6.097921
8,8.634316,-15.537224,0.255601,-13.784649,-24.653334,13.933681,0.027999,16.861673,3.534138,1.720386,4.995602,-7.397740,17.571667,-5.995928,-2.857069,7.512685,-4.961075,-5.154223,-20.145864,-7.484862,-7.032068,-5.880246,-11.013548,-24.318550,0.172396,-11.939279,2.909863,-9.242765,-1.595318,-9.880507,-5.302240,-0.053331
9,12.172303,-9.271307,-8.301731,0.134638,-11.199168,26.962469,0.852552,12.770389,11.305322,4.876386,-1.306640,-0.077576,19.489674,-1.618881,15.911789,11.640968,-8.804319,-15.564478,-18.440607,-10.784871,13.450040,-12.856146,-3.238101,-8.774995,4.056612,-10.869978,5.045641,-7.951314,1.341504,-10.302047,2.820615,-1.894333
