,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,20.252222,-3.050400,-5.257073,5.367495,-6.135241,4.301290,0.264685,-5.117161,21.135019,-4.376247,1.601211,-9.089763,-5.478167,-7.990149,-10.676040,12.437985,-6.793214,-11.385892,-5.511030,-23.117353,0.127124,14.201133,8.573717,-1.388716,-5.255368,-8.244027,-24.653364,-3.256777,6.143616,0.251498,-9.319720,-18.576248
1,19.100042,-6.458814,-13.335517,8.719076,-15.052866,5.832477,4.440654,-8.136289,15.768123,-9.041668,-0.925350,0.960557,-3.056250,-7.374306,-13.451080,6.140972,-7.283195,-2.369064,-4.930747,-22.852961,-11.806628,21.368147,-2.267433,-2.058186,-8.391916,-6.999797,-21.431467,-3.384575,1.142257,1.367146,-0.078503,-14.129859
2,11.118900,-4.066586,-18.860926,9.312256,-15.624731,6.280530,2.529792,-9.828175,20.873371,-4.223153,7.421091,-2.053171,-0.967595,-8.739464,-8.255505,7.941876,-2.210483,-3.185583,-4.136776,-16.666042,-9.443907,23.531685,-1.641458,-7.061494,-15.245840,-6.457023,-11.292294,-6.389202,12.438574,-7.944099,-1.417301,-12.398549
3,15.808970,2.486598,-10.851238,3.723683,-13.879186,0.665575,4.113214,-6.126764,17.866220,-5.559927,4.608302,-2.062397,-0.148404,-10.849125,-9.464274,10.126120,-8.947459,-6.795513,-1.211530,-19.744843,-5.313342,18.482157,1.768394,-3.482606,-6.893301,-5.796049,-20.133636,-7.044637,6.088548,-6.230302,-3.199679,-16.213264
4,13.032480,-2.593959,-9.294227,4.111813,-5.860040,4.046119,-6.919588,-4.087893,16.413116,-4.577088,1.036295,-4.599384,-5.107995,-3.412777,-9.672485,7.778116,-6.938972,-6.894712,-7.765828,-22.317959,1.291450,14.649673,1.936125,-3.053966,-5.675722,-4.195628,-18.431461,-1.564938,4.320317,-5.356950,-9.355852,-19.277306
5,13.737281,-7.368713,-10.559267,1.932954,-10.790873,6.763690,-2.006123,-2.542072,20.248569,-10.301847,3.572386,-4.780073,-3.273385,-3.986813,-19.610384,9.632961,-1.627266,-5.985754,-11.782457,-26.961496,-2.727402,23.388380,2.493708,-4.386805,-8.371066,-7.928139,-18.036690,-1.916249,0.023452,4.508847,-6.227180,-18.130056
6,17.654743,-6.916694,-14.040598,-1.334776,-14.317030,13.422426,13.851208,-12.445154,39.065937,-9.470477,1.783900,-23.088474,-14.210351,-7.972875,-10.661278,1.930166,1.185588,-8.631453,-14.811500,-29.816900,-5.165347,19.812878,29.276171,-13.736665,-10.799282,-1.555712,-14.646532,-16.052376,-3.910982,6.140799,-4.034557,-20.901300
7,13.760521,-2.159553,-19.188147,12.199717,-7.557158,1.384599,0.085285,-8.159069,22.182158,-1.591778,-0.033829,-6.372161,-7.461996,-6.119185,-9.067846,7.163218,-7.095444,-7.568651,-5.809887,-26.231165,-7.650202,22.154589,1.778018,0.399510,-8.107061,-8.276219,-18.698338,-0.251063,6.884439,-1.891769,-3.298134,-23.158686
8,9.067756,-3.732736,-21.473078,10.037839,-12.520553,2.646717,1.889091,-7.944165,28.173128,-3.872403,9.129277,-6.676141,-6.390988,-7.287480,-8.664664,8.785131,-2.817201,-9.319456,-4.622675,-26.301043,-12.496976,33.168438,5.155095,-3.470103,-12.145799,-8.752054,-23.289038,0.924458,5.777156,-5.705499,-6.823732,-25.252676
9,13.804202,-2.172623,-10.510978,9.189359,-8.156608,3.315345,-5.244556,-4.313617,26.178606,-7.375898,2.980507,-6.041728,-8.953649,-10.405959,-7.060538,9.992639,-8.863081,-5.232139,-2.748934,-18.084768,-3.999015,12.819645,5.527801,-3.966707,0.266995,-1.329074,-22.239445,-2.313994,0.243441,-4.625520,-7.988577,-12.845512
10,18.348639,-7.526676,-13.084937,10.431249,-10.361758,2.117950,7.689912,-10.550968,19.065294,-5.116951,-1.505494,0.275094,-4.530734,-5.329702,-6.571057,8.218772,-4.037066,-7.484178,-5.070364,-22.133173,-16.206705,18.040386,-0.581066,-0.533497,-8.878038,-10.972664,-27.254162,1.921847,4.863612,1.317010,-3.132483,-15.471269
11,15.243375,-9.710487,-20.269770,11.733764,-9.640512,-0.881006,12.762502,-8.034987,20.061033,-7.368113,2.629254,-3.599712,-5.353238,-4.823947,-15.528484,5.572545,-11.130788,-4.301538,-2.979396,-25.731518,-11.595549,21.119785,-0.061149,-5.673159,-0.703946,-11.329930,-17.184385,1.939369,2.954741,0.413369,8.388112,-18.850845
12,16.040527,-9.892092,-14.934889,11.003145,-10.993718,4.535518,2.707927,-8.499098,19.347801,-9.696340,1.880686,1.663370,-6.537433,-6.725930,-10.612166,6.372786,-6.111030,-3.357217,-4.615258,-19.339512,-15.450770,17.005211,-3.371295,-5.639419,-5.924950,-5.267417,-23.049627,2.851234,1.695321,-3.937273,1.104932,-12.671399
13,16.031467,-3.703295,-9.603048,1.626167,-6.204540,5.207230,-2.286085,-3.138145,14.008107,-5.753091,0.728413,-3.189649,-6.123368,-4.399895,-13.837369,6.856399,-6.541306,-5.315469,-8.827389,-24.837896,-2.609619,16.794430,0.158902,-4.038159,-6.358958,-5.199202,-19.750780,2.779549,3.178674,-3.536728,-6.482252,-22.067753
14,8.351845,-0.831838,-15.749707,9.708258,-12.566711,3.579634,-3.898111,-5.828846,19.837109,-7.838786,-1.689707,-8.682575,-9.682624,-14.856173,-5.054581,6.305498,-12.666886,-12.116078,6.983385,-19.253561,-5.764746,17.246887,-2.693747,5.334544,-12.443480,-1.415339,-21.621666,-1.088749,13.147549,-1.176585,-7.366292,-26.581791
15,17.451773,-5.199143,-21.756241,7.497055,-19.457743,8.118512,5.735017,-8.616482,23.835083,-6.403507,8.588569,0.242435,-5.133788,-10.480746,-12.561319,7.026995,-2.643670,-1.516765,-4.537477,-20.407290,-16.062319,24.715889,-0.733491,-9.270820,-13.813519,-9.034966,-19.589411,-2.745352,6.500543,-8.999823,0.150319,-16.378128
16,14.312527,-0.520096,-14.213696,6.553199,-7.987888,1.255796,-0.811660,-2.913954,19.298185,-3.704339,1.640884,-3.762258,-7.276690,-7.150403,-9.207913,10.707120,-9.237141,-7.798253,-5.914045,-23.759134,-4.295933,17.150537,1.319080,-1.011941,-3.712809,-8.078475,-19.495991,-2.857008,3.795502,-2.388578,-4.173100,-22.017065
17,9.958036,-5.184646,-15.180746,7.811105,-8.511518,6.108201,-4.920887,-6.898445,23.329084,-6.673706,0.468299,-1.138088,-10.007345,-7.591346,-13.185038,5.369540,-6.119675,-5.878708,-5.353810,-17.598354,-6.850029,14.522992,-3.507848,-6.397620,-3.620874,-0.120653,-23.438269,5.982638,3.229358,-5.463975,-3.543902,-17.775911
18,17.992346,-8.111292,-13.883165,14.905489,-6.150011,9.694586,-3.142301,-8.692817,20.405472,-5.068818,2.617937,-5.561099,-8.124144,-6.974264,-16.153946,5.499006,-3.745987,-6.203206,-9.697873,-24.526806,-2.273855,19.515751,4.129752,-2.065634,-3.909796,-6.667923,-19.396301,2.504478,5.940618,-1.715445,-1.488861,-18.126045
19,14.455213,-2.876342,-14.338841,11.055883,-11.896009,5.433465,-3.780911,-8.383533,19.895588,-6.913281,4.833011,0.333439,-2.418655,-7.338489,-12.157600,7.929037,-6.943660,-6.886772,-3.631211,-24.052376,-4.947600,22.760426,-1.717452,-2.763421,-8.479832,-3.828491,-24.444197,-0.627880,6.201931,-6.168447,-5.530151,-19.089678
20,10.915618,-3.109989,-18.778351,9.711305,-12.667531,6.195587,-2.072994,-9.337120,18.197411,-1.271870,-3.287151,0.079953,-6.314620,-6.115613,-12.116513,6.019043,-11.239797,-1.982040,-4.898236,-21.466145,-8.580924,16.177540,-7.944260,-3.854131,-7.132655,-1.339229,-11.730793,-1.288829,3.432067,-0.149573,0.841646,-12.333141
21,17.054523,-1.387306,-10.974529,4.982612,-12.564614,9.730362,-1.067996,-8.174084,22.179264,1.706491,-3.806112,-2.104191,-1.552532,-3.003584,-20.915535,9.646520,-6.527347,-4.176582,-9.061365,-30.338188,-0.362755,24.870779,2.706938,0.352272,-4.692208,-4.409501,-17.813713,-11.475952,-7.132114,12.757997,-8.114728,-9.199182
22,12.457297,-0.221009,-13.373491,8.521472,-7.166075,3.065319,-3.395122,-4.451675,23.943741,-3.890014,4.214976,-5.203588,-8.474027,-6.693434,-9.348485,7.209053,-8.935940,-9.281733,-4.933589,-22.729691,-2.524440,15.146543,4.316541,-1.588740,-3.079592,-8.207372,-25.219093,1.075193,4.563668,-6.310056,-5.593523,-21.705624
23,14.524630,-0.278986,-19.964197,8.374875,-9.068117,4.420425,0.689060,-5.008983,20.931854,-0.372646,3.219592,-1.579805,-9.924021,-4.470702,-15.696643,7.361377,-6.814697,-4.914388,-9.749500,-27.899834,-8.400953,16.701735,-1.376599,-3.975636,-3.665375,-11.522084,-16.030418,2.412220,0.860054,-3.050303,2.097277,-20.289831
24,16.198908,-6.689274,-17.405773,13.197360,-11.240780,5.577703,4.238915,-8.569131,16.893232,-9.396462,2.122742,-2.932134,-7.007805,-6.795203,-16.989267,6.032037,-4.640751,-6.910313,-5.453632,-25.413036,-11.765255,23.505005,-3.531433,-1.508757,-10.436828,-9.817590,-21.175922,3.682909,6.169759,-2.294276,3.354167,-19.548000
25,14.925422,-13.460715,-22.946157,11.209974,-14.778697,14.318509,0.519607,-8.459930,27.862749,-8.607917,2.938823,-6.844739,-17.501629,-15.641631,-8.380991,6.580686,0.436696,-0.821928,-8.410046,-22.095533,-17.744122,24.984501,2.981940,-3.711710,-15.547143,-4.582740,-16.169815,-1.575042,11.521121,-0.154879,-3.342926,-17.727953
26,23.744879,-16.179733,-19.585459,15.701446,-10.909453,5.130442,19.823036,-8.340430,18.287270,-15.159938,5.230278,-15.727374,-10.368286,-0.697299,-20.326229,6.017044,-3.903583,-11.791231,-11.136008,-31.081013,-13.650747,31.260544,6.148906,-7.718930,-15.595611,-18.174269,-4.236732,-7.176178,-0.819464,0.027613,6.469373,-17.804890
27,18.369976,-1.466307,-12.953159,11.016831,-9.500821,2.865106,1.059934,-5.014437,14.066614,-5.651043,1.952698,0.321902,-3.372553,-7.665677,-11.720935,12.520497,-9.278349,-5.486536,-6.385472,-23.257513,-6.835050,17.901587,-4.064905,-2.498695,-8.896997,-10.159602,-18.320332,-3.010299,6.202962,-5.267408,1.382591,-16.202562
28,11.958875,-1.789776,-15.442234,5.033813,-10.870300,7.405416,-2.383503,-8.987164,21.124983,1.643137,5.101637,-8.761753,-5.792045,-5.988864,-11.907480,9.842851,-0.546392,-8.260031,-8.853823,-27.387245,-4.468468,23.228840,1.359775,-2.715521,-11.859893,-5.954435,-18.189041,1.730949,5.146391,-3.350574,-8.577582,-17.417101
29,19.286522,4.767205,-29.410549,15.400029,-20.025410,-6.258473,19.335943,-18.770079,36.119484,-27.454712,7.238831,-5.676767,11.582024,14.787161,-32.884163,-8.626780,-9.012594,-12.007374,17.700554,-41.204750,14.216257,44.647476,16.890755,-6.461305,-11.923991,-21.834578,-17.913260,-28.551954,25.568647,-1.611128,4.988817,-31.499159
